"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"216521_s_at",0.218126465729865,2.87504948147062,8.55846874410175,3.43541044242298e-10,7.65306384258568e-06,13.1087142383208
"202455_at",-0.203533262819512,3.21667503124072,-8.19769444204147,9.67968659604234e-10,1.07817189150018e-05,12.1395118423667
"205392_s_at",-0.458089287196033,3.22255783953092,-8.0441026275073,1.51149918539983e-09,1.12238891177173e-05,11.7215833523863
"204467_s_at",-0.286434215260436,2.96175335007327,-7.67180353816847,4.50107392548929e-09,2.17538264212837e-05,10.6960434153353
"205200_at",-0.445611145186852,3.21615499389509,-7.56667578083305,6.14189628472591e-09,2.17538264212837e-05,10.4033975822141
"216333_x_at",-0.512734739696042,3.26043608541391,-7.47073312296383,8.1643571859604e-09,2.17538264212837e-05,10.1352021711235
"219544_at",0.240650841841878,2.98963089263244,7.44217331713222,8.88786592471743e-09,2.17538264212837e-05,10.0551654802507
"203418_at",0.345494384972262,2.80400391170724,7.37700716707311,1.07911443179672e-08,2.17538264212837e-05,9.87220333782496
"208523_x_at",0.226680212805747,2.90377472582585,7.32915201215871,1.24469984452183e-08,2.17538264212837e-05,9.73754866000599
"212494_at",-0.232162008374206,3.22109650035792,-7.3226592411801,1.26906361689757e-08,2.17538264212837e-05,9.71926032693684
"219978_s_at",0.354090426654611,2.94704125226183,7.30791444472372,1.3261981490962e-08,2.17538264212837e-05,9.67771161505451
"202191_s_at",-0.302889370549586,3.08136594240808,-7.29114186295903,1.39435823706721e-08,2.17538264212837e-05,9.63042081473211
"206110_at",0.304994381224436,2.74354648047067,7.25794032908674,1.53990451749071e-08,2.17538264212837e-05,9.53672067382988
"204731_at",-0.476170184029529,3.19054133274487,-7.24909673745467,1.58119912815998e-08,2.17538264212837e-05,9.51174317668214
"209687_at",-0.498086415754454,3.44137106358806,-7.24250100658236,1.61272432344484e-08,2.17538264212837e-05,9.4931091604594
"212706_at",-0.333933387192145,3.07193311552247,-7.22566202811585,1.69611922377766e-08,2.17538264212837e-05,9.4455158883217
"212914_at",-0.288778464574847,3.33081292347445,-7.21530990401237,1.74953691705944e-08,2.17538264212837e-05,9.41624240925342
"200889_s_at",0.20043616825607,3.23172483052934,7.21375095620066,1.75772714271718e-08,2.17538264212837e-05,9.4118331032119
"203145_at",0.23694797662585,3.06195004770806,7.17718405798839,1.96135351549071e-08,2.20516735785831e-05,9.30833679511953
"207828_s_at",0.319516390768917,3.16179296781476,7.17406804171573,1.97977048782e-08,2.20516735785831e-05,9.29951118639315
"203764_at",0.44650241222831,2.85849347756653,7.14114489954041,2.18536402395494e-08,2.31344239967245e-05,9.20620229359717
"220144_s_at",0.209172682736549,2.83362194243535,7.10139194082338,2.46257203458334e-08,2.31344239967245e-05,9.09339358308984
"202920_at",-0.484405960957709,3.08895828942998,-7.0985396007183,2.48377719530155e-08,2.31344239967245e-05,9.08529342063916
"205195_at",0.224489213705091,2.87143888002436,7.08858886586262,2.55920785830701e-08,2.31344239967245e-05,9.05702883124261
"213451_x_at",-0.506569543560408,3.26307909795038,-7.0838136439245,2.59622300991207e-08,2.31344239967245e-05,9.04346163371005
"204442_x_at",-0.32872667092332,3.32149885088446,-7.04781427128546,2.89323816897298e-08,2.47894871885427e-05,8.94111091171018
"206093_x_at",-0.486793657058264,3.27417666302823,-7.0098773085865,3.24346616466888e-08,2.62031028203296e-05,8.83311832728712
"201291_s_at",0.44583218628601,3.09655036914209,7.00480065259688,3.29347254553677e-08,2.62031028203296e-05,8.81865673304657
"209709_s_at",0.295373986932142,2.90234309635634,6.99197072255908,3.42334625856733e-08,2.62972015869326e-05,8.78209815770702
"219555_s_at",0.276193200797164,3.02547344296695,6.94348113653642,3.96264423484345e-08,2.94252752065359e-05,8.64379202996407
"216548_x_at",0.22060368038691,2.88053179965775,6.92029061925309,4.25010474886786e-08,3.05418011259772e-05,8.57757106681845
"204580_at",0.544423894055349,3.17021434120156,6.89703350565337,4.55952834945435e-08,3.17414415752483e-05,8.51111206565211
"205733_at",0.285258322467623,2.9069402660749,6.84567732359746,5.32572357889185e-08,3.5294139259892e-05,8.36419121912151
"214663_at",-0.247313504265791,3.08774304971695,-6.84191439986523,5.3867250295656e-08,3.5294139259892e-05,8.35341729297333
"202954_at",0.318260531761462,3.27160842834682,6.82316025032051,5.70142080131205e-08,3.62887289116653e-05,8.29970300352615
