Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date	SRR Accession
GSM4572568	Sample 1_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413820	SRX8413820	Alina Isakova	1-Jun-20	SRR11863346
GSM4572569	Sample 2_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413821	SRX8413821	Alina Isakova	1-Jun-20	SRR11863347
GSM4572570	Sample 3_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413822	SRX8413822	Alina Isakova	1-Jun-20	SRR11863348
GSM4572571	Sample 4_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413823	SRX8413823	Alina Isakova	1-Jun-20	SRR11863349
GSM4572572	Sample 5_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413824	SRX8413824	Alina Isakova	1-Jun-20	SRR11863350
GSM4572573	Sample 6_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413825	SRX8413825	Alina Isakova	1-Jun-20	SRR11863351
GSM4572574	Sample 7_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413826	SRX8413826	Alina Isakova	1-Jun-20	SRR11863352
GSM4572575	Sample 8_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413827	SRX8413827	Alina Isakova	1-Jun-20	SRR11863353
GSM4572576	Sample 9_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413828	SRX8413828	Alina Isakova	1-Jun-20	SRR11863354
GSM4572577	Sample 10_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413829	SRX8413829	Alina Isakova	1-Jun-20	SRR11863355
GSM4572578	Sample 11_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413830	SRX8413830	Alina Isakova	1-Jun-20	SRR11863356
GSM4572579	Sample 12_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413831	SRX8413831	Alina Isakova	1-Jun-20	SRR11863357
GSM4572580	Sample 13_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413832	SRX8413832	Alina Isakova	1-Jun-20	SRR11863486
GSM4572581	Sample 14_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8413833	SRX8413833	Alina Isakova	1-Jun-20	SRR11863487
GSM4572582	Sample 15_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414325	SRX8414325	Alina Isakova	1-Jun-20	SRR11863488
GSM4572583	Sample 16_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414326	SRX8414326	Alina Isakova	1-Jun-20	SRR11863489
GSM4572584	Sample 17_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414327	SRX8414327	Alina Isakova	1-Jun-20	SRR11863490
GSM4572585	Sample 18_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414328	SRX8414328	Alina Isakova	1-Jun-20	SRR11863491
GSM4572586	Sample 19_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414329	SRX8414329	Alina Isakova	1-Jun-20	SRR11863492
GSM4572587	Sample 20_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414330	SRX8414330	Alina Isakova	1-Jun-20	SRR11863493
GSM4572588	Sample 21_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414331	SRX8414331	Alina Isakova	1-Jun-20	SRR11863494
GSM4572589	Sample 22_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414332	SRX8414332	Alina Isakova	1-Jun-20	SRR11863495
GSM4572590	Sample 23_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414333	SRX8414333	Alina Isakova	1-Jun-20	SRR11863496
GSM4572591	Sample 24_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414334	SRX8414334	Alina Isakova	1-Jun-20	SRR11863497
GSM4572592	Sample 25_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414335	SRX8414335	Alina Isakova	1-Jun-20	SRR11863498
GSM4572593	Sample 26_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414336	SRX8414336	Alina Isakova	1-Jun-20	SRR11863499
GSM4572594	Sample 27_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414337	SRX8414337	Alina Isakova	1-Jun-20	SRR11863500
GSM4572595	Sample 28_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414338	SRX8414338	Alina Isakova	1-Jun-20	SRR11863501
GSM4572596	Sample 29_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414339	SRX8414339	Alina Isakova	1-Jun-20	SRR11863502
GSM4572597	Sample 30_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414340	SRX8414340	Alina Isakova	1-Jun-20	SRR11863503
GSM4572598	Sample 31_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414631	SRX8414631	Alina Isakova	1-Jun-20	SRR11863504
GSM4572599	Sample 32_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414632	SRX8414632	Alina Isakova	1-Jun-20	SRR11863505
GSM4572600	Sample 33_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414633	SRX8414633	Alina Isakova	1-Jun-20	SRR11863506
GSM4572601	Sample 34_Single Dermal Fibroblast	SRA	Homo sapiens	1	GPL24676	GSE151334	SRA Run Selector	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX8414634	SRX8414634	Alina Isakova	1-Jun-20	SRR11863507
