Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	cell_line	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	GEO_Accession (exp)	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	source_name	SRA Study	day_of_differentiation
SRR11863346	RNA-Seq	75	617725125	PRJNA635600	SAMN15044452	239163420	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413820	GSM4572568	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572568	Single Dermal Fibroblast	SRP265084	
SRR11863347	RNA-Seq	75	348772950	PRJNA635600	SAMN15044451	129687097	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413821	GSM4572569	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572569	Single Dermal Fibroblast	SRP265084	
SRR11863348	RNA-Seq	75	64360575	PRJNA635600	SAMN15044450	23817586	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413822	GSM4572570	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:39:00Z	1	GSM4572570	Single Dermal Fibroblast	SRP265084	
SRR11863349	RNA-Seq	75	95544525	PRJNA635600	SAMN15044449	35898808	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413823	GSM4572571	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:39:00Z	1	GSM4572571	Single Dermal Fibroblast	SRP265084	
SRR11863350	RNA-Seq	75	323906400	PRJNA635600	SAMN15044448	118705873	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413824	GSM4572572	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572572	Single Dermal Fibroblast	SRP265084	
SRR11863351	RNA-Seq	75	68496450	PRJNA635600	SAMN15044447	25647369	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413825	GSM4572573	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:39:00Z	1	GSM4572573	Single Dermal Fibroblast	SRP265084	
SRR11863352	RNA-Seq	75	115473150	PRJNA635600	SAMN15044446	42434916	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413826	GSM4572574	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572574	Single Dermal Fibroblast	SRP265084	
SRR11863353	RNA-Seq	75	290484000	PRJNA635600	SAMN15044445	109520699	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413827	GSM4572575	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572575	Single Dermal Fibroblast	SRP265084	
SRR11863354	RNA-Seq	75	154295550	PRJNA635600	SAMN15044444	57372552	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413828	GSM4572576	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572576	Single Dermal Fibroblast	SRP265084	
SRR11863355	RNA-Seq	75	141150450	PRJNA635600	SAMN15044443	51192211	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413829	GSM4572577	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572577	Single Dermal Fibroblast	SRP265084	
SRR11863356	RNA-Seq	75	191951625	PRJNA635600	SAMN15044442	71657558	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413830	GSM4572578	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572578	Single Dermal Fibroblast	SRP265084	
SRR11863357	RNA-Seq	75	138812700	PRJNA635600	SAMN15044441	52204641	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413831	GSM4572579	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572579	Single Dermal Fibroblast	SRP265084	
SRR11863486	RNA-Seq	75	100527225	PRJNA635600	SAMN15044440	36317294	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413832	GSM4572580	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572580	Single Dermal Fibroblast	SRP265084	
SRR11863487	RNA-Seq	75	235032000	PRJNA635600	SAMN15044439	88101224	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8413833	GSM4572581	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572581	Single Dermal Fibroblast	SRP265084	
SRR11863488	RNA-Seq	75	222168675	PRJNA635600	SAMN15044438	84456387	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414325	GSM4572582	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572582	Single Dermal Fibroblast	SRP265084	
SRR11863489	RNA-Seq	75	179337300	PRJNA635600	SAMN15044437	67727817	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414326	GSM4572583	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572583	Single Dermal Fibroblast	SRP265084	
SRR11863490	RNA-Seq	75	113383425	PRJNA635600	SAMN15044436	40553480	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414327	GSM4572584	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572584	Single Dermal Fibroblast	SRP265084	
SRR11863491	RNA-Seq	75	36539100	PRJNA635600	SAMN15044435	13662887	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414328	GSM4572585	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:40:00Z	1	GSM4572585	Single Dermal Fibroblast	SRP265084	
SRR11863492	RNA-Seq	75	291192825	PRJNA635600	SAMN15044434	106507733	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414329	GSM4572586	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:41:00Z	1	GSM4572586	Single Dermal Fibroblast	SRP265084	
SRR11863493	RNA-Seq	75	308008125	PRJNA635600	SAMN15044433	117043444	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414330	GSM4572587	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572587	Single Dermal Fibroblast	SRP265084	
SRR11863494	RNA-Seq	75	296409825	PRJNA635600	SAMN15044432	109993180	primary cell	GEO	public	"fastq	run.zq	sra"	"gs	ncbi	s3"	"gs.us-east1	ncbi.public	s3.us-east-1"	SRX8414331	GSM4572588	Illumina NovaSeq 6000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	2020-06-01T00:00:00Z	2020-05-28T11:42:00Z	1	GSM4572588	Single Dermal Fibroblast	SRP265084	
